frame_name;actor;gender;p1;p2;p3;p4
FrancesHa-47773.jpeg;Greta_Gerwig;F;55;436;130;361
FrancesHa-49286.jpeg;Patrick_Heusinger;M;32;282;140;175
FrancesHa-49575.jpeg;Greta_Gerwig;F;67;311;196;182
FrancesHa-51428.jpeg;Greta_Gerwig;F;47;403;121;328
FrancesHa-51965.jpeg;Mickey_Sumner;F;80;353;155;278
FrancesHa-53834.jpeg;Greta_Gerwig;F;104;593;211;485
FrancesHa-56581.jpeg;Michael_Zegen;M;76;245;166;155
FrancesHa-56728.jpeg;Michael_Zegen;M;96;328;171;254
FrancesHa-59565.jpeg;Greta_Gerwig;F;72;303;146;229
FrancesHa-65445.jpeg;Greta_Gerwig;F;80;478;155;403
FrancesHa-65597.jpeg;Greta_Gerwig;F;80;552;155;478
FrancesHa-66097.jpeg;Greta_Gerwig;F;94;536;156;474
FrancesHa-66234.jpeg;Greta_Gerwig;F;58;277;94;241
FrancesHa-67193.jpeg;Greta_Gerwig;F;88;552;163;478
FrancesHa-67443.jpeg;Greta_Gerwig;F;72;536;146;461
FrancesHa-67532.jpeg;Greta_Gerwig;F;96;519;171;444
FrancesHa-67768.jpeg;Greta_Gerwig;F;80;536;155;461
FrancesHa-68029.jpeg;Greta_Gerwig;F;73;515;135;453
FrancesHa-68161.jpeg;Greta_Gerwig;F;80;527;155;453
FrancesHa-68729.jpeg;Greta_Gerwig;F;88;502;163;428
FrancesHa-69211.jpeg;Greta_Gerwig;F;82;368;211;239
FrancesHa-69628.jpeg;Greta_Gerwig;F;110;425;239;296
FrancesHa-69781.jpeg;Greta_Gerwig;F;80;232;142;170
FrancesHa-70848.jpeg;Greta_Gerwig;F;81;339;236;184
FrancesHa-71471.jpeg;Greta_Gerwig;F;82;440;211;311
FrancesHa-71971.jpeg;Greta_Gerwig;F;67;425;196;296
FrancesHa-72525.jpeg;Greta_Gerwig;F;67;425;196;296
FrancesHa-72775.jpeg;Greta_Gerwig;F;53;425;182;296
FrancesHa-73275.jpeg;Greta_Gerwig;F;82;440;211;311
FrancesHa-75031.jpeg;Greta_Gerwig;F;80;366;187;259
FrancesHa-75170.jpeg;Greta_Gerwig;F;80;354;187;247
FrancesHa-75451.jpeg;Greta_Gerwig;F;68;294;175;187
FrancesHa-75572.jpeg;Greta_Gerwig;F;68;282;175;175
FrancesHa-75697.jpeg;Greta_Gerwig;F;80;294;187;187
FrancesHa-75907.jpeg;Greta_Gerwig;F;68;354;175;247
FrancesHa-76332.jpeg;Greta_Gerwig;F;44;306;152;199
FrancesHa-7641.jpeg;Greta_Gerwig;F;53;391;115;328
FrancesHa-80148.jpeg;Greta_Gerwig;F;87;259;149;197
