frame_name;position;guessed_gender;;;
50_50 (2011)-127577.jpeg;[414.94693 137.1164  436.51935 163.6468 ];M;;;
50_50 (2011)-127577.jpeg;[-10.357745  28.913597  13.140795  64.05612 ];M;;;
50_50 (2011)-127827.jpeg;[483.393   116.56183 528.77734 169.69781];F;;;
50_50 (2011)-127827.jpeg;[105.41631  90.0352  150.18451 150.31325];M;;;
50_50 (2011)-127827.jpeg;[322.36227  104.495155 349.81512  145.21884 ];M;;;
50_50 (2011)-127827.jpeg;[420.94308 138.10898 442.85776 162.32378];M;;;
50_50 (2011)-127901.jpeg;[459.24268  89.01519 495.525   140.87662];F;;;
50_50 (2011)-127901.jpeg;[152.70285 117.56891 181.43427 163.90048];M;;;
50_50 (2011)-128225.jpeg;[411.59515 137.443   432.0871  163.75787];M;;;
50_50 (2011)-128225.jpeg;[294.84528 104.89672 325.4781  146.10054];M;;;
50_50 (2011)-128225.jpeg;[123.15425  87.32218 162.7884  149.63533];M;;;
50_50 (2011)-128225.jpeg;[471.92746 108.87206 502.77362 160.32509];M;;;
50_50 (2011)-128347.jpeg;[  4.6280975  94.540146   40.25754   146.74866  ];M;;;
50_50 (2011)-128347.jpeg;[435.60962   97.844765 473.905    149.11165 ];M;;;
50_50 (2011)-128347.jpeg;[145.47011 110.35826 182.50342 160.50296];M;;;
50_50 (2011)-12860.jpeg;[475.78815  -50.563026 582.5307   115.4572  ];M;;;
50_50 (2011)-128618.jpeg;[245.98885  78.79116 358.00388 231.5397 ];M;;;
50_50 (2011)-128618.jpeg;[467.06668  86.05142 544.97406 241.07028];M;;;
50_50 (2011)-128692.jpeg;[295.33307  77.97973 436.90076 276.06384];F;;;
50_50 (2011)-128692.jpeg;[110.930016  51.02738  224.14177  206.09088 ];M;;;
50_50 (2011)-129045.jpeg;[286.31082 107.5842  318.08444 149.78476];F;;;
50_50 (2011)-129045.jpeg;[411.10532 137.38493 433.11084 164.57951];F;;;
50_50 (2011)-129045.jpeg;[161.8967   98.72552 193.93854 156.21445];M;;;
50_50 (2011)-129045.jpeg;[477.57846 106.2865  511.39856 161.9315 ];M;;;
50_50 (2011)-129210.jpeg;[444.87976 107.59933 475.10345 141.30034];M;;;
50_50 (2011)-12925.jpeg;[218.43463 100.37777 354.237   283.71817];M;;;
50_50 (2011)-129307.jpeg;[127.350876 172.72807  142.52829  194.0701  ];M;;;
50_50 (2011)-129307.jpeg;[145.56053 140.17007 158.16258 155.41878];M;;;
50_50 (2011)-129307.jpeg;[ 88.34131 149.46281 103.15178 170.51811];M;;;
50_50 (2011)-129307.jpeg;[231.91682 106.64232 246.63683 125.75132];F;;;
